runId,scheduler,noPatrons,switchTime,seed,patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
PRIORITY_80_789,PRIORITY,80,5,789,71,Pina Colada,100,3923,21040,21142,17117,17117,17219,0
PRIORITY_80_789,PRIORITY,80,5,789,68,Cider,25,21102,21149,21180,47,47,78,0
PRIORITY_80_789,PRIORITY,80,5,789,70,Martini,60,21136,21187,21251,51,51,115,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Tequila shot,20,4259,21258,21280,16999,16999,17021,0
PRIORITY_80_789,PRIORITY,80,5,789,68,Cosmopolitan,65,21285,21288,21357,3,3,72,0
PRIORITY_80_789,PRIORITY,80,5,789,71,Margarita,75,21262,21364,21443,102,102,181,0
PRIORITY_80_789,PRIORITY,80,5,789,68,B52,200,21412,21451,21652,39,39,240,0
PRIORITY_80_789,PRIORITY,80,5,789,71,Mojito,75,21526,21658,21738,132,132,212,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Mojito,75,21284,21745,21821,461,461,537,0
PRIORITY_80_789,PRIORITY,80,5,789,73,Pina Colada,100,4571,21828,21929,17257,17257,17358,0
PRIORITY_80_789,PRIORITY,80,5,789,71,Bloody Mary,70,21853,21936,22010,83,83,157,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Bloody Mary,70,21936,22017,22092,81,81,156,0
PRIORITY_80_789,PRIORITY,80,5,789,73,Bloody Mary,70,22054,22099,22171,45,45,117,0
PRIORITY_80_789,PRIORITY,80,5,789,74,Tequila shot,20,4594,22178,22203,17584,17584,17609,0
PRIORITY_80_789,PRIORITY,80,5,789,74,Gin and Tonic,40,22206,22209,22251,3,3,45,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Pina Colada,100,22247,22258,22363,11,11,116,0
PRIORITY_80_789,PRIORITY,80,5,789,74,Margarita,75,22366,22370,22450,4,4,84,0
PRIORITY_80_789,PRIORITY,80,5,789,75,Mojito,75,4599,22458,22535,17859,17859,17936,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Cider,25,22486,22543,22572,57,57,86,0
PRIORITY_80_789,PRIORITY,80,5,789,74,Tequila shot,20,22535,22580,22602,45,45,67,0
PRIORITY_80_789,PRIORITY,80,5,789,76,Cosmopolitan,65,4766,22611,22678,17845,17845,17912,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Pina Colada,100,22677,22685,22788,8,8,111,0
PRIORITY_80_789,PRIORITY,80,5,789,75,Cosmopolitan,65,22650,22795,22865,145,145,215,0
PRIORITY_80_789,PRIORITY,80,5,789,76,Bloody Mary,70,22733,22873,22944,140,140,211,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Pina Colada,100,22913,22951,23056,38,38,143,0
PRIORITY_80_789,PRIORITY,80,5,789,75,Martini,60,22921,23062,23125,141,141,204,0
PRIORITY_80_789,PRIORITY,80,5,789,76,Cosmopolitan,65,23099,23133,23202,34,34,103,0
PRIORITY_80_789,PRIORITY,80,5,789,72,Beer,25,23176,23210,23237,34,34,61,0
PRIORITY_80_789,PRIORITY,80,5,789,75,Pina Colada,100,23240,23244,23345,4,4,105,0
PRIORITY_80_789,PRIORITY,80,5,789,76,Red Wine,25,23254,23351,23379,97,97,125,0
PRIORITY_80_789,PRIORITY,80,5,789,77,B52,200,4953,23385,23587,18432,18432,18634,0
PRIORITY_80_789,PRIORITY,80,5,789,75,White Wine,25,23470,23594,23622,124,124,152,0
PRIORITY_80_789,PRIORITY,80,5,789,77,Vodka shot,20,23600,23629,23654,29,29,54,0
PRIORITY_80_789,PRIORITY,80,5,789,77,Margarita,75,23659,23662,23742,3,3,83,0
PRIORITY_80_789,PRIORITY,80,5,789,78,Cider,25,5185,23748,23775,18563,18563,18590,0
PRIORITY_80_789,PRIORITY,80,5,789,79,Bloody Mary,70,5238,23781,23856,18543,18543,18618,0
PRIORITY_80_789,PRIORITY,80,5,789,78,Bloody Mary,70,23879,23879,23954,0,0,75,0
PRIORITY_80_789,PRIORITY,80,5,789,79,Bloody Mary,70,24010,24011,24086,1,1,76,0
PRIORITY_80_789,PRIORITY,80,5,789,78,Tequila shot,20,24109,24109,24133,0,0,24,0
PRIORITY_80_789,PRIORITY,80,5,789,78,Vodka shot,20,24137,24141,24166,4,4,29,0
PRIORITY_80_789,PRIORITY,80,5,789,78,Red Wine,25,24171,24173,24204,2,2,33,0
PRIORITY_80_789,PRIORITY,80,5,789,79,Red Wine,25,24241,24241,24271,0,0,30,0
